,0
기준년월,8.217349343890619e-19
ID,0.001218077241171871
잔액_일시불_B0M,-0.417353665969198
잔액_할부_B0M,-0.2642918087811805
잔액_현금서비스_B0M,-0.26501082291851774
잔액_리볼빙일시불이월_B0M,-0.06967905821130545
잔액_리볼빙CA이월_B0M,-0.001597595115228464
잔액_카드론_B0M,-0.04538442940637755
월중평잔_일시불_B0M,-0.4446212941710589
월중평잔_할부_B0M,-0.23487880717552787
월중평잔_CA_B0M,-0.26407572457402545
카드론잔액_최종경과월,
연체잔액_B0M,-0.00479620989386662
연체잔액_일시불_B0M,-0.006421010782523341
연체잔액_할부_B0M,-0.0066453123974697555
연체잔액_현금서비스_B0M,-0.0029962658350068186
연체잔액_카드론_B0M,-0.0002469588884174395
연체잔액_대환론_B0M,0.000731129874423063
잔액_현금서비스_B1M,-0.2647443377610544
잔액_현금서비스_B2M,-0.2654865661272527
잔액_카드론_B1M,-0.04370648867784609
잔액_카드론_B2M,-0.04523792486866842
잔액_카드론_B3M,-0.04686581874734114
잔액_카드론_B4M,-0.04890306353246376
잔액_카드론_B5M,-0.05139284259107454
잔액_할부_B1M,-0.2285373246990079
잔액_할부_B2M,-0.2284109733213613
잔액_일시불_B1M,-0.3742436757274281
잔액_일시불_B2M,-0.3734944904770453
연체일수_B1M,-0.028254906939181774
연체일수_B2M,-0.03523933248371146
연체원금_B1M,-0.011436702506744579
연체원금_B2M,-0.011716496141464108
연체일수_최근,0.04194225186968061
연체원금_최근,-0.01002700168816221
최종연체회차,-0.04351491156055341
매각잔액_B1M,0.0002984965626427046
최종연체개월수_R15M,
RV_평균잔액_R12M,-0.06160224075086045
RV_최대잔액_R12M,-0.07593411250220462
RV_평균잔액_R6M,-0.06383758875986158
RV_최대잔액_R6M,-0.07283094685407278
RV_평균잔액_R3M,-0.06666885893980919
RV_최대잔액_R3M,-0.07141416910628305
RV잔액이월횟수_R6M,
RV잔액이월횟수_R3M,
잔액_할부_유이자_B0M,-0.14606215158659186
잔액_할부_무이자_B0M,-0.24977599066332126
잔액_할부_해외_B0M,-0.008217860450091827
연체잔액_일시불_해외_B0M,
연체잔액_RV일시불_B0M,-0.0005534963412249509
연체잔액_RV일시불_해외_B0M,
연체잔액_할부_해외_B0M,
연체잔액_CA_B0M,-0.007851868701449946
연체잔액_CA_해외_B0M,
월중평잔,-0.28728877031969635
월중평잔_일시불,-0.4415268139402346
월중평잔_RV일시불,-0.12021004249802239
월중평잔_할부,-0.2320852000390434
월중평잔_CA,-0.2663202879454609
월중평잔_카드론,-0.04212316980613817
평잔_3M,-0.2684720597379703
평잔_일시불_3M,-0.4345136232368017
평잔_일시불_해외_3M,-0.2928340051920066
평잔_RV일시불_3M,-0.11715954134195469
평잔_RV일시불_해외_3M,-0.11766430367094723
평잔_할부_3M,-0.23332784477139262
평잔_할부_해외_3M,-0.020395337418563125
평잔_CA_3M,-0.26765212073613737
평잔_CA_해외_3M,-0.005996236265812902
평잔_카드론_3M,-0.037649216684505556
평잔_6M,-0.28149736568506106
평잔_일시불_6M,-0.44796698423326914
평잔_일시불_해외_6M,-0.3127555708922901
평잔_RV일시불_6M,-0.12048935943006578
평잔_RV일시불_해외_6M,-0.12170855215694289
평잔_할부_6M,-0.250312370286732
평잔_할부_해외_6M,-0.027457445378260715
평잔_CA_6M,-0.2739135220059111
평잔_CA_해외_6M,-0.011692618091526094
평잔_카드론_6M,-0.042058916129442674
