Variable,Correlation
Segment,1.0
컨택건수_이용유도_TM_R6M,0.15210558547400418
컨택건수_이용유도_EM_R6M,-0.13159914663893263
컨택건수_이용유도_EM_B0M,-0.12312259436140259
컨택건수_이용유도_청구서_B0M,-0.09011693949412888
컨택건수_이용유도_TM_B0M,0.06890325756377444
컨택건수_이용유도_인터넷_R6M,0.052623819591661326
컨택건수_신용발급_TM_R6M,0.046292148183240546
컨택건수_이용유도_LMS_B0M,-0.04115858999165704
컨택건수_이용유도_청구서_R6M,-0.038098777942070464
컨택건수_카드론_TM_R6M,0.0379621552445676
컨택건수_카드론_LMS_R6M,0.0316528833848731
컨택건수_채권_R6M,-0.021709875730622302
컨택건수_보험_TM_R6M,0.021636548389037214
컨택건수_카드론_TM_B0M,0.021144626652375924
컨택건수_부대서비스_TM_R6M,0.019433354018425858
컨택건수_카드론_EM_R6M,-0.01848290498792441
컨택건수_포인트소진_TM_R6M,-0.018452844352606718
컨택건수_리볼빙_TM_R6M,0.016623868520558485
컨택건수_이용유도_LMS_R6M,-0.014556691924162852
컨택건수_채권_B0M,-0.014311460622824845
컨택건수_카드론_EM_B0M,-0.012244024194741203
컨택건수_CA_청구서_R6M,-0.011041620723547325
컨택건수_카드론_LMS_B0M,-0.008979035615775491
컨택건수_CA_LMS_R6M,0.008508656269582342
컨택건수_카드론_청구서_R6M,0.008225587737651151
컨택건수_이용유도_당사앱_B0M,-0.0077436072324236676
컨택건수_리볼빙_LMS_R6M,-0.005084232941456213
컨택건수_이용유도_당사앱_R6M,-0.0033652186489672034
컨택건수_카드론_청구서_B0M,0.0027122491440597866
컨택건수_이용유도_인터넷_B0M,0.002260987435323712
컨택건수_CA_청구서_B0M,0.0012596652342688047
컨택건수_보험_TM_B0M,-0.0009574609539103318
컨택건수_CA_TM_R6M,-0.000348085466406612
기준년월,4.044631879799452e-12
