Variable,Correlation
정상청구원금_B5M,-0.660737982
정상청구원금_B0M,-0.634570668
정상청구원금_B2M,-0.628077554
이용금액_일시불_R12M,-0.595858305
이용금액_일시불_B0M,-0.575032255
이용금액_일시불_R6M,-0.568892574
이용금액_일시불_R3M,-0.567357252
이용금액_오프라인_B0M,-0.56618551
정상입금원금_B5M,-0.551228323
정상입금원금_B0M,-0.549280096
이용금액_오프라인_R3M,-0.539826778
이용금액_오프라인_R6M,-0.538774893
정상입금원금_B2M,-0.536208407
_3순위업종_이용금액,-0.504268047
_2순위업종_이용금액,-0.492209133
_2순위쇼핑업종_이용금액,-0.487363729
최대이용금액_일시불_R12M,-0.486144504
이용건수_신용_R12M,-0.480732481
이용건수_신판_R12M,-0.476833353
이용건수_일시불_R12M,-0.472361771
_1순위업종_이용금액,-0.468098587
_3순위쇼핑업종_이용금액,-0.464138563
이용건수_오프라인_B0M,-0.458958709
이용가맹점수,-0.456552703
쇼핑_도소매_이용금액,-0.452097362
이용건수_오프라인_R6M,-0.450232157
이용건수_오프라인_R3M,-0.449336117
이용건수_신용_B0M,-0.436677369
이용건수_신용_R6M,-0.436528167
이용건수_신용_R3M,-0.433637623
이용건수_신판_R6M,-0.432736992
이용건수_신판_B0M,-0.43254795
이용건수_신판_R3M,-0.429748423
이용건수_일시불_B0M,-0.429503134
이용건수_일시불_R6M,-0.42909595
이용건수_일시불_R3M,-0.426714725
_1순위교통업종_이용금액,-0.408527752
연체입금원금_B0M,-0.403664972
쇼핑_마트_이용금액,-0.395007479
쇼핑_슈퍼마켓_이용금액,-0.390989945
이용금액_온라인_B0M,-0.389504251
교통_주유이용금액,-0.387756208
연체입금원금_B2M,-0.385222361
연체입금원금_B5M,-0.384409216
이용금액_페이_온라인_B0M,-0.378886852
_1순위쇼핑업종_이용금액,-0.375679346
이용건수_온라인_R6M,-0.367224547
이용금액_페이_온라인_R3M,-0.364122264
이용금액_간편결제_B0M,-0.36304523
이용건수_온라인_R3M,-0.362539933
이용금액_페이_온라인_R6M,-0.358308747
연속유실적개월수_기본_24M_카드,-0.357339799
이용건수_온라인_B0M,-0.356381208
이용금액_온라인_R3M,-0.35472844
이용금액_할부_R12M,-0.353568442
쇼핑_온라인_이용금액,-0.353185214
이용금액_온라인_R6M,-0.351423292
_2순위교통업종_이용금액,-0.350392923
이용금액_할부_무이자_R12M,-0.347404141
이용금액_간편결제_R3M,-0.340866725
이용건수_간편결제_R6M,-0.338993084
이용건수_페이_온라인_R6M,-0.338644654
교통_정비이용금액,-0.338575754
할부금액_3M_R12M,-0.334949522
이용건수_간편결제_R3M,-0.33333141
최대이용금액_할부_무이자_R12M,-0.332957886
최대이용금액_할부_R12M,-0.332917409
이용금액_간편결제_R6M,-0.331894831
이용건수_페이_온라인_R3M,-0.329736927
이용건수_간편결제_B0M,-0.327694556
_3순위교통업종_이용금액,-0.327502113
쇼핑_편의점_이용금액,-0.326543269
이용건수_페이_온라인_B0M,-0.3246198
할부금액_무이자_3M_R12M,-0.323400464
이용개월수_온라인_R6M,-0.32124239
이용개월수_페이_온라인_R6M,-0.318473824
납부_기타이용금액,-0.31426998
이용개월수_간편결제_R6M,-0.313497505
최대이용금액_CA_R12M,-0.306449729
할부금액_6M_R12M,-0.295831386
쇼핑_기타_이용금액,-0.295248476
이용금액_해외,-0.294269484
이용개월수_할부_무이자_R12M,-0.293026568
이용금액_할부_무이자_R6M,-0.291934064
이용개월수_할부_R12M,-0.290496644
이용건수_할부_R12M,-0.289500041
이용금액_할부_R6M,-0.28939949
이용건수_할부_무이자_R12M,-0.286050705
_1순위여유업종_이용금액,-0.285465925
이용금액_CA_R12M,-0.283919697
할부건수_3M_R12M,-0.281473364
쇼핑_백화점_이용금액,-0.27976976
할부건수_무이자_3M_R12M,-0.279451096
할부금액_무이자_6M_R12M,-0.279384099
이용건수_CA_R12M,-0.278490706
이용금액_CA_R6M,-0.275539513
이용개월수_신용_R12M,-0.275250461
이용개월수_신판_R12M,-0.2728524
이용개월수_일시불_R12M,-0.27140246
이용개월수_CA_R12M,-0.270880611
이용금액_CA_R3M,-0.267343357
이용금액_CA_B0M,-0.26273053
이용건수_할부_R6M,-0.257437234
이용후경과월_할부_무이자,0.256618632
이용개월수_할부_R6M,-0.255659596
이용금액_할부_무이자_R3M,-0.255172354
이용개월수_할부_무이자_R6M,-0.255036177
이용건수_할부_무이자_R6M,-0.25438168
교통_택시이용금액,-0.253612058
이용금액_할부_R3M,-0.252239104
이용후경과월_할부,0.251750246
이용건수_CA_R6M,-0.247864768
여유_운동이용금액,-0.245943546
이용개월수_CA_R6M,-0.244659946
이용건수_할부_R3M,-0.242693931
이용건수_할부_무이자_R3M,-0.241911772
이용개월수_할부_R3M,-0.239813377
이용개월수_할부_무이자_R3M,-0.237834202
할부건수_6M_R12M,-0.237501786
이용후경과월_CA,0.237314438
이용건수_할부_B0M,-0.233223531
이용개월수_전체_R6M,-0.232901346
이용개월수_CA_R3M,-0.232772187
이용건수_할부_무이자_B0M,-0.232744703
_1순위납부업종_이용금액,-0.230848136
이용금액_할부_무이자_B0M,-0.230809545
이용건수_CA_R3M,-0.230616127
할부건수_무이자_6M_R12M,-0.22929793
이용금액_할부_B0M,-0.227516046
이용금액_체크_R12M,-0.225854165
최종이용일자_CA,-0.222540336
이용건수_CA_B0M,-0.22125565
이용금액_체크_R6M,-0.221042172
이용금액_체크_R3M,-0.217935363
이용개월수_전체_R3M,-0.216553994
이용개월수_오프라인_R6M,-0.216505433
이용건수_체크_R12M,-0.216394183
이용개월수_신용_R6M,-0.215954123
이용금액_체크_B0M,-0.215509673
RP건수_B0M,-0.214940989
최대이용금액_체크_R12M,-0.214222647
이용건수_체크_R6M,-0.211960918
_2순위여유업종_이용금액,-0.209963715
이용건수_체크_R3M,-0.209959956
이용개월수_신판_R6M,-0.209428031
이용개월수_일시불_R6M,-0.208678931
이용건수_체크_B0M,-0.208544197
이용후경과월_신용,0.204828585
이용개월수_신용_R3M,-0.202546753
최종이용일자_할부,-0.201732965
_2순위납부업종_이용금액,-0.198602549
이용개월수_신판_R3M,-0.196353041
이용개월수_일시불_R3M,-0.19553938
최대이용금액_할부_유이자_R12M,-0.19543938
이용금액_할부_유이자_R12M,-0.194608847
이용후경과월_신판,0.194258645
납부_통신비이용금액,-0.193360237
RP유형건수_B0M,-0.191815683
할부금액_유이자_3M_R12M,-0.18352785
교통_철도버스이용금액,-0.181839261
납부_보험료이용금액,-0.181590145
RP후경과월_교통,0.180351763
RP건수_통신_B0M,-0.178746203
쇼핑_아울렛_이용금액,-0.177455423
이용후경과월_일시불,0.176247679
이용개월수_할부_유이자_R12M,-0.175692632
이용개월수_결제일_R6M,-0.174919189
이용개월수_체크_R12M,-0.173483419
신청건수_ATM_CA_R6M,-0.172141799
할부금액_유이자_6M_R12M,-0.166808795
이용후경과월_할부_유이자,0.1664003
연속무실적개월수_기본_24M_카드,0.166217687
이용건수_할부_유이자_R12M,-0.166099416
선입금원금_B5M,-0.164145795
여유_숙박이용금액,-0.164040713
여유_공연이용금액,-0.163621233
이용개월수_결제일_R3M,-0.161884876
선입금원금_B0M,-0.15998267
이용개월수_체크_R6M,-0.158393201
할부건수_유이자_3M_R12M,-0.158301191
선입금원금_B2M,-0.158289593
RP건수_교통_B0M,-0.157904451
이용금액_선결제_R6M,-0.156423271
RP후경과월_통신,0.156056768
이용개월수_체크_R3M,-0.156024026
카드론이용월수_누적,-0.154625298
카드론이용건수_누적,-0.152304298
이용후경과월_체크,0.151309401
이용금액_A페이_B0M,-0.150200138
이용금액_페이_오프라인_B0M,-0.150026412
