Variable,Correlation
잔액_신판ca최대한도소진율_r6m,-0.268486212
잔액_신판ca최대한도소진율_r3m,-0.263688188
잔액_신판ca평균한도소진율_r3m,-0.258635617
잔액_신판ca평균한도소진율_r6m,-0.252524969
잔액_신판최대한도소진율_r6m,-0.200087422
잔액_신판최대한도소진율_r3m,-0.194820205
잔액_신판평균한도소진율_r3m,-0.189758171
잔액_신판평균한도소진율_r6m,-0.181994865
불만제기후경과월_R12M,-0.173899064
방문후경과월_PC_R6M,0.172772474
홈페이지_금융건수_R6M,-0.169264451
방문월수_PC_R6M,-0.160520025
홈페이지_금융건수_R3M,-0.160279904
방문후경과월_앱_R6M,0.158201985
인입일수_ARS_R6M,-0.15696471
인입월수_ARS_R6M,-0.154813232
방문횟수_앱_B0M,-0.154792825
방문일수_앱_B0M,-0.152877588
방문월수_앱_R6M,-0.152752638
홈페이지_선결제건수_R6M,-0.151408839
방문일수_앱_R6M,-0.149644401
홈페이지_선결제건수_R3M,-0.148633913
상담건수_R6M,-0.1435771
인입월수_IB_R6M,-0.142631211
인입일수_IB_R6M,-0.142004796
방문일수_PC_B0M,-0.141835012
방문횟수_PC_B0M,-0.1412946
인입횟수_IB_R6M,-0.140527227
이용메뉴건수_IB_R6M,-0.134680743
당사멤버쉽_방문월수_R6M,-0.133227222
인입후경과월_IB_R6M,0.121067475
인입일수_ARS_B0M,-0.115457442
방문횟수_앱_R6M,-0.113784755
이용메뉴건수_ARS_B0M,-0.110468823
인입횟수_ARS_B0M,-0.110404558
인입횟수_ARS_R6M,0.109217096
변동률_RV일시불평잔,-0.104847655
변동률_RVCA평잔,-0.1041274
IB문의건수_사용승인내역_R6M,-0.103141151
IB문의건수_선결제_R6M,-0.101905371
당사멤버쉽_방문횟수_R6M,-0.0976276
당사멤버쉽_방문횟수_B0M,-0.090153121
증감율_이용건수_할부_전월,0.080530709
증감율_이용금액_일시불_전월,-0.073525607
증감율_이용금액_신판_전월,-0.073436145
변동률_카드론평잔,-0.072186059
인입횟수_IB_B0M,-0.071628717
상담건수_B0M,-0.071124627
인입후경과월_ARS,-0.070134287
방문월수_모바일웹_R6M,-0.06801427
증감율_이용건수_체크_전월,0.066659179
방문횟수_모바일웹_R6M,-0.06622413
방문일수_모바일웹_R6M,-0.065284073
인입일수_IB_B0M,-0.060823196
이용메뉴건수_IB_B0M,-0.059656742
변동률_일시불평잔,-0.057162494
증감율_이용건수_CA_전월,0.056227877
방문횟수_PC_R6M,-0.05373884
증감율_이용금액_신용_전월,-0.046525422
IB문의건수_카드발급_R6M,-0.045283396
변동률_CA평잔,-0.044448917
IB문의건수_선결제_B0M,-0.043356408
이용메뉴건수_ARS_R6M,0.042808604
IB문의건수_분실도난_R6M,-0.042541156
방문후경과월_모바일웹_R6M,0.040366935
증감율_이용건수_할부_분기,0.036098482
방문일수_PC_R6M,0.032598166
증감율_이용금액_CA_분기,0.031327512
IB문의건수_결제_R6M,-0.030065839
증감율_이용금액_할부_분기,0.028411543
증감율_이용금액_체크_전월,0.027065229
증감율_이용건수_카드론_분기,0.023503075
증감율_이용금액_카드론_분기,0.023283541
증감율_이용금액_할부_전월,0.021696484
IB문의건수_정보변경_R6M,-0.021250251
변동률_할부평잔,-0.020413376
IB문의건수_한도_R6M,-0.018638862
IB문의건수_CA_R6M,-0.01708173
증감율_이용건수_CA_분기,0.015660488
증감율_이용금액_신용_분기,0.014715756
증감율_이용금액_CA_전월,0.013887519
변동률_잔액_CA_B1M,0.01372231
증감율_이용금액_신판_분기,0.013518978
IB문의건수_CS_R6M,0.013108041
IB문의건수_SMS_R6M,0.011147996
IB문의건수_BL_R6M,-0.010354518
증감율_이용금액_체크_분기,0.010016685
증감율_이용건수_체크_분기,0.009855105
IB문의건수_포인트_R6M,-0.008312594
증감율_이용건수_일시불_전월,-0.008263115
IB문의건수_할부_R6M,-0.007621241
IB문의건수_결제일변경_R6M,0.006406865
IB문의건수_사용승인내역_B0M,-0.006124198
증감율_이용금액_카드론_전월,0.006121463
증감율_이용금액_일시불_분기,0.006105333
IB문의건수_CS_B0M,0.005609715
증감율_이용건수_신판_전월,-0.005582812
증감율_이용건수_카드론_전월,0.005304195
증감율_이용건수_신용_전월,-0.00480104
변동률_잔액_일시불_B1M,-0.003956466
IB문의건수_비밀번호_R6M,0.003630396
변동률_잔액_B1M,-0.003601987
IB문의건수_CL_RV_B0M,0.002826569
IB문의건수_부대서비스_R6M,0.00149249
방문일수_모바일웹_B0M,-0.001357663
방문횟수_모바일웹_B0M,-0.001307926
ID,0.001218077
증감율_이용건수_일시불_분기,0.001071463
증감율_이용건수_신용_분기,-0.000928671
IB문의건수_카드발급_B0M,0.000667459
IB문의건수_CL_RV_R6M,0.0005031
증감율_이용건수_신판_분기,-0.000334828
기준년월,-1.35E-18
인입횟수_금융_IB_R6M,
인입불만횟수_IB_R6M,
인입불만일수_IB_R6M,
인입불만월수_IB_R6M,
인입불만후경과월_IB_R6M,
인입불만횟수_IB_B0M,
인입불만일수_IB_B0M,
IB문의건수_한도_B0M,
IB문의건수_결제_B0M,
IB문의건수_할부_B0M,
IB문의건수_정보변경_B0M,
IB문의건수_결제일변경_B0M,
IB문의건수_명세서_B0M,
IB문의건수_비밀번호_B0M,
IB문의건수_SMS_B0M,
IB문의건수_APP_B0M,
IB문의건수_부대서비스_B0M,
IB문의건수_포인트_B0M,
IB문의건수_BL_B0M,
IB문의건수_분실도난_B0M,
IB문의건수_CA_B0M,
IB상담건수_VOC_B0M,
IB상담건수_VOC민원_B0M,
IB상담건수_VOC불만_B0M,
IB상담건수_금감원_B0M,
IB문의건수_명세서_R6M,
IB문의건수_APP_R6M,
IB상담건수_VOC_R6M,
IB상담건수_VOC민원_R6M,
IB상담건수_VOC불만_R6M,
IB상담건수_금감원_R6M,
불만제기건수_B0M,
불만제기건수_R12M,
당사PAY_방문횟수_B0M,
당사PAY_방문횟수_R6M,
당사PAY_방문월수_R6M,
