Variable,Correlation
이용금액_R3M_신용체크,-0.622826722
청구금액_R6M,-0.597903531
청구금액_R3M,-0.590678148
이용금액_R3M_신용,-0.58903157
청구금액_B0,-0.577988421
_1순위카드이용금액,-0.573870206
평잔_일시불_6M,-0.447966984
월중평잔_일시불_B0M,-0.444621294
월중평잔_일시불,-0.441526814
평잔_일시불_3M,-0.434513623
잔액_일시불_B0M,-0.417353666
_2순위카드이용금액,-0.400224966
이용카드수_신용체크,-0.397712662
_1순위카드이용건수,-0.38360925
이용카드수_신용,-0.376918491
_2순위카드이용건수,-0.376494245
잔액_일시불_B1M,-0.374243676
잔액_일시불_B2M,-0.37349449
혜택수혜금액_R3M,-0.355753739
이용가능카드수_신용,-0.353014153
이용가능카드수_신용체크,-0.352211496
혜택수혜금액,-0.350856897
유효카드수_신용,-0.342925039
유효카드수_신용체크,-0.339722977
소지카드수_유효_신용,-0.336633429
소지카드수_이용가능_신용,-0.323096411
평잔_일시불_해외_6M,-0.312755571
카드이용한도금액,-0.304435326
카드이용한도금액_B1M,-0.303261539
카드이용한도금액_B2M,-0.303257923
평잔_일시불_해외_3M,-0.292834005
CA한도금액,-0.292502033
월중평잔,-0.28728877
평잔_6M,-0.281497366
포인트_마일리지_환산_B0M,-0.281306231
마일_적립포인트_R3M,-0.276183194
평잔_CA_6M,-0.273913522
평잔_3M,-0.26847206
평잔_CA_3M,-0.267652121
월중평잔_CA,-0.266320288
잔액_현금서비스_B2M,-0.265486566
잔액_현금서비스_B0M,-0.265010823
잔액_현금서비스_B1M,-0.264744338
잔액_할부_B0M,-0.264291809
월중평잔_CA_B0M,-0.264075725
입회일자_신용,0.252289486
입회경과개월수_신용,-0.252240219
평잔_할부_6M,-0.25031237
잔액_할부_무이자_B0M,-0.249775991
이용금액_R3M_신용_가족,-0.235564151
월중평잔_할부_B0M,-0.234878807
평잔_할부_3M,-0.233327845
월중평잔_할부,-0.2320852
이용여부_3M_해외겸용_본인,-0.231055587
잔액_할부_B1M,-0.228537325
잔액_할부_B2M,-0.228410973
이용여부_3M_해외겸용_신용_본인,-0.224438686
포인트_마일리지_건별_R3M,-0.216643052
포인트_마일리지_건별_B0M,-0.214917004
이용카드수_신용_가족,-0.214791875
마일_적립포인트_R12M,-0.213706575
유효카드수_신용_가족,-0.213145424
마일_이용포인트_R3M,-0.213141961
이용가능카드수_신용_가족,-0.213093122
마일_이용포인트_R12M,-0.212008298
이용금액_R3M_체크,-0.2099258
청구서발송여부_B0,-0.209534084
할인금액_청구서_R3M,-0.202702849
할인금액_청구서_B0M,-0.19668339
청구서발송여부_R3M,-0.187036233
할인금액_R3M,-0.185651847
마일_잔여포인트_B0M,-0.183546172
포인트_마일리지_월적립_R3M,-0.180633799
할인금액_B0M,-0.180181492
포인트_마일리지_월적립_B0M,-0.175593809
포인트_적립포인트_R12M,-0.1753621
포인트_적립포인트_R3M,-0.173286125
이용가능여부_해외겸용_신용_본인,-0.170923894
포인트_이용포인트_R3M,-0.17015193
이용가능여부_해외겸용_본인,-0.159198224
선결제건수_R6M,-0.158874881
이용카드수_체크,-0.155914696
청구서발송여부_R6M,-0.153696864
상환개월수_결제일_R6M,-0.149048482
보유여부_해외겸용_신용_본인,-0.148643988
선결제건수_R3M,-0.14739058
유효카드수_체크,-0.147367592
이용가능카드수_체크,-0.146997933
포인트_포인트_건별_R3M,-0.146726501
잔액_할부_유이자_B0M,-0.146062152
포인트_포인트_건별_B0M,-0.144546762
보유여부_해외겸용_본인,-0.14359281
포인트_이용포인트_R12M,-0.143240685
상환개월수_결제일_R3M,-0.133415382
포인트_포인트_월적립_R3M,-0.12566975
평잔_RV일시불_해외_6M,-0.121708552
평잔_RV일시불_6M,-0.120489359
월중평잔_RV일시불,-0.120210042
CA이자율_할인전,-0.118189374
평잔_RV일시불_해외_3M,-0.117664304
평잔_RV일시불_3M,-0.117159541
포인트_포인트_월적립_B0M,-0.115605126
최초한도금액,-0.107068768
수신거부여부_TM,-0.106518833
수신거부여부_메일,-0.106260274
수신거부여부_DM,-0.104624069
RV현금서비스이자율_할인전,-0.0968704
수신거부여부_SMS,-0.094510207
일시상환론한도금액,-0.094196687
할인건수_B0M,0.091973132
회원여부_이용가능_CA,-0.087535795
한도증액금액_R12M,-0.084180149
회원여부_이용가능,-0.083298477
RV_최대잔액_R12M,-0.075934113
RV일시불이자율_할인전,-0.073838199
RV_최대잔액_R6M,-0.072830947
RV_최대잔액_R3M,-0.071414169
rv최초시작후경과일,0.070154995
잔액_리볼빙일시불이월_B0M,-0.069679058
탈회횟수_누적,0.068743989
대표청구지고객주소구분코드,0.068183037
RV_평균잔액_R3M,-0.066668859
상향가능CA한도금액,-0.064574834
RV_평균잔액_R6M,-0.063837589
RV_평균잔액_R12M,-0.061602241
한도증액횟수_R12M,-0.060724035
연체건수_R6M,-0.060503667
남녀구분코드,0.060323134
할인건수_R3M,0.059316807
소지여부_신용,-0.056723798
연체건수_R3M,-0.054813925
RV약정청구율,-0.054575462
잔액_카드론_B5M,-0.051392843
상향가능한도금액,-0.050763957
월상환론한도금액,-0.050271624
동의여부_한도증액안내,-0.049472156
잔액_카드론_B4M,-0.048903064
마케팅동의여부,0.047710041
Life_Stage,-0.04711774
잔액_카드론_B3M,-0.046865819
잔액_카드론_B0M,-0.045384429
잔액_카드론_B2M,-0.045237925
강제한도감액후경과월,-0.044600549
잔액_카드론_B1M,-0.043706489
최종연체회차,-0.043514912
월중평잔_카드론,-0.04212317
평잔_카드론_6M,-0.042058916
연체일수_최근,0.041942252
한도증액후경과월,0.039390485
카드신청건수,0.038922225
평잔_카드론_3M,-0.037649217
강제한도감액금액_R12M,0.037437841
CL이자율_할인전,-0.037266019
이용거절여부_카드론,0.036400037
카드론동의여부,-0.036400037
연체일수_B2M,-0.035239332
탈회횟수_발급1년이내,0.032353083
연령,0.031782165
RV최소결제비율,-0.031680418
거주시도명,0.028408438
연체일수_B1M,-0.028254907
회원여부_연체,-0.027846687
평잔_할부_해외_6M,-0.027457445
청구서수령방법,-0.0259636
최종카드발급경과월,-0.022261385
평잔_할부_해외_3M,-0.020395337
제휴연회비_B0M,-0.019886007
청구금액_제휴연회비_B0M,-0.019886007
일시불ONLY전환가능여부,0.019204874
대표청구서수령지구분코드,-0.018055434
탈회횟수_발급6개월이내,0.015520274
연체감액여부_R3M,-0.013670323
회원여부_이용가능_카드론,0.013647675
연체원금_B2M,-0.011716496
평잔_CA_해외_6M,-0.011692618
연체원금_B1M,-0.011436703
월상환론상향가능한도금액,0.011387778
청구금액_기본연회비_B0M,0.010116824
기본연회비_B0M,0.010116824
연체원금_최근,-0.010027002
잔액_할부_해외_B0M,-0.00821786
연체잔액_CA_B0M,-0.007851869
연체잔액_할부_B0M,-0.006645312
연체잔액_일시불_B0M,-0.006421011
자발한도감액금액_R12M,-0.006140816
평잔_CA_해외_3M,-0.005996236
자발한도감액횟수_R12M,-0.005818289
연회비발생카드수_B0M,-0.00566127
연체잔액_B0M,-0.00479621
유효카드수_체크_가족,-0.004450207
강제한도감액횟수_R12M,0.003853306
RV전환가능여부,0.003708148
대표결제일,0.003646445
연체잔액_현금서비스_B0M,-0.002996266
특별한도보유여부_R3M,0.002992227
포인트_잔여포인트_B0M,0.002584055
자발한도감액후경과월,0.002105123
한도심사요청건수,-0.00188415
최종탈회후경과월,0.001823105
한도요청거절건수,-0.001737019
한도심사거절후경과월,0.001723674
잔액_리볼빙CA이월_B0M,-0.001597595
시장단기연체여부_R6M,0.001307753
ID,0.001218077
한도심사요청후경과월,0.00121194
이용가능카드수_체크_가족,-0.001137176
시장단기연체여부_R3M,0.001071772
연체잔액_대환론_B0M,0.00073113
연체잔액_RV일시불_B0M,-0.000553496
매각잔액_B1M,0.000298497
시장연체상환여부_R6M,0.000298497
연체잔액_카드론_B0M,-0.000246959
기준년월,-1.35e-18
정상청구원금_B5M,-0.660737982
정상청구원금_B0M,-0.634570668
