,Segment
기준년월,4.738603788372546e-13
ID,0.0034758593521061654
남녀구분코드,0.04225880922855312
연령,-0.06561086522294482
회원여부_이용가능,-0.013701689134587887
회원여부_이용가능_CA,-0.013507618005775789
회원여부_이용가능_카드론,0.0017834063961145394
소지여부_신용,-0.010490984866932767
소지카드수_유효_신용,-0.16416269108184392
소지카드수_이용가능_신용,-0.15957293667860936
입회일자_신용,0.19826804853113775
입회경과개월수_신용,-0.19821658460206787
회원여부_연체,0.007367401712413072
이용거절여부_카드론,0.05416845392721385
동의여부_한도증액안내,-0.03942203477315165
수신거부여부_TM,-0.027322568258012537
수신거부여부_DM,-0.02757944143961687
수신거부여부_메일,-0.027889594128557776
수신거부여부_SMS,-0.032058434188201514
가입통신회사코드,-0.05045934391572445
탈회횟수_누적,0.01494430468057507
최종탈회후경과월,0.0043545540561925195
탈회횟수_발급6개월이내,-0.0002724536860565561
탈회횟수_발급1년이내,0.01621742402800411
거주시도명,0.034391755946149266
직장시도명,0.02449347361554561
마케팅동의여부,0.023194637089761935
유효카드수_신용체크,-0.12830755601376884
유효카드수_신용,-0.13571057107449697
유효카드수_신용_가족,-0.1051125198459071
유효카드수_체크,-0.0361031388754046
유효카드수_체크_가족,-0.003566225240741641
이용가능카드수_신용체크,-0.13064889208498848
이용가능카드수_신용,-0.13790788872895904
이용가능카드수_신용_가족,-0.10516352356960693
이용가능카드수_체크,-0.03567378896854648
이용가능카드수_체크_가족,0.00014547431118237225
이용카드수_신용체크,-0.13435375080519604
이용카드수_신용,-0.13388872039735555
이용카드수_신용_가족,-0.10545707170094251
이용카드수_체크,-0.02335460668789943
이용카드수_체크_가족,
이용금액_R3M_신용체크,-0.3069002865748273
이용금액_R3M_신용,-0.28817054615972343
이용금액_R3M_신용_가족,-0.13286501886653576
이용금액_R3M_체크,-0.0506569190729489
이용금액_R3M_체크_가족,
_1순위카드이용금액,-0.31851416912777464
_1순위카드이용건수,-0.10785601533756362
_1순위신용체크구분,0.028234144652776638
_2순위카드이용금액,-0.10975072081667975
_2순위카드이용건수,-0.07804196549573428
_2순위신용체크구분,0.015362110523641162
최종유효년월_신용_이용가능,-0.024022064788404764
최종유효년월_신용_이용,-0.02848018066509045
최종카드발급일자,-0.01086509107358759
보유여부_해외겸용_본인,-0.06459315000038704
이용가능여부_해외겸용_본인,-0.06506529847963528
이용여부_3M_해외겸용_본인,-0.08142426120820746
보유여부_해외겸용_신용_본인,-0.0895455108460239
이용가능여부_해외겸용_신용_본인,-0.09189559400556352
이용여부_3M_해외겸용_신용_본인,-0.09791306795409599
연회비발생카드수_B0M,-0.017915712048124192
연회비할인카드수_B0M,
기본연회비_B0M,0.0067370618089547425
제휴연회비_B0M,-0.008353289227706088
할인금액_기본연회비_B0M,
할인금액_제휴연회비_B0M,
청구금액_기본연회비_B0M,0.0067370618089547425
청구금액_제휴연회비_B0M,-0.008353289227706088
상품관련면제카드수_B0M,
임직원면제카드수_B0M,
우수회원면제카드수_B0M,
기타면제카드수_B0M,
카드신청건수,-0.002773031277167606
Life_Stage,-0.05268252064479879
최종카드발급경과월,0.015041793324937264
