,Segment
기준년월,4.738603788372546e-13
ID,0.0034758593521061654
최초한도금액,-0.09189106842313356
카드이용한도금액,-0.23625629526077851
CA한도금액,-0.22911707897367437
일시상환론한도금액,-0.06480282397392735
월상환론한도금액,-0.016076656136455866
CA이자율_할인전,-0.06981325940015803
CL이자율_할인전,-0.019532863788743856
RV일시불이자율_할인전,-0.0263465944027526
RV현금서비스이자율_할인전,-0.047782793411398086
RV신청일자,0.034469704997696686
RV약정청구율,0.03357313909082334
RV최소결제비율,-0.02323104396667916
자발한도감액횟수_R12M,-0.0056232374814425504
자발한도감액금액_R12M,-0.005081699472622421
자발한도감액후경과월,-0.0010894307550024657
강제한도감액횟수_R12M,-0.024788110566999717
강제한도감액금액_R12M,-0.03150200252368607
강제한도감액후경과월,-0.002410493220908714
한도증액횟수_R12M,0.020118165347225565
한도증액금액_R12M,-0.011989690477734596
한도증액후경과월,-0.016292962019819817
상향가능한도금액,0.017411142632144844
상향가능CA한도금액,0.0008704552344999741
카드론동의여부,-0.05416845392721382
월상환론상향가능한도금액,0.04856482623657824
RV전환가능여부,0.0358499369212974
일시불ONLY전환가능여부,0.036802150804858574
카드이용한도금액_B1M,-0.23899645584859994
카드이용한도금액_B2M,-0.23809888248935548
특별한도보유여부_R3M,0.0015160879028413784
연체감액여부_R3M,0.015076212558898882
한도심사요청건수,-0.002593794693170334
한도요청거절건수,-0.0032257585716550497
한도심사요청후경과월,0.0017465496014832272
한도심사거절후경과월,0.00319366018703792
시장단기연체여부_R6M,0.0019572651711208177
시장단기연체여부_R3M,0.0008753119231289818
시장연체상환여부_R6M,
시장연체상환여부_R3M,
rv최초시작후경과일,-0.034528519855886196
