,Segment
기준년월,4.738603788372546e-13
ID,0.0034758593521061654
최종이용일자_기본,-0.012394229146753376
최종이용일자_신판,-0.012556095721846797
최종이용일자_CA,-0.08616994111741993
최종이용일자_카드론,-0.05130543534921067
최종이용일자_체크,-0.019396364803221117
최종이용일자_일시불,-0.012630810075587208
최종이용일자_할부,-0.025393095442350112
이용건수_신용_B0M,-0.16068789102101433
이용건수_신판_B0M,-0.15696497761196826
이용건수_일시불_B0M,-0.15540610715502567
이용건수_할부_B0M,-0.0718902102554967
이용건수_할부_유이자_B0M,0.010785227437411891
이용건수_할부_무이자_B0M,-0.09137029556440357
이용건수_부분무이자_B0M,
이용건수_CA_B0M,-0.11340630837037234
이용건수_체크_B0M,-0.028822097944448493
이용건수_카드론_B0M,0.00019920007417001439
이용금액_일시불_B0M,-0.3031034207513594
이용금액_할부_B0M,-0.08184519439793166
이용금액_할부_유이자_B0M,0.009530236773840184
이용금액_할부_무이자_B0M,-0.11027168192113194
이용금액_부분무이자_B0M,
이용금액_CA_B0M,-0.1612404030972519
이용금액_체크_B0M,-0.03696573482678669
이용금액_카드론_B0M,-0.00035341898036885195
이용후경과월_신용,0.025287690633344986
이용후경과월_신판,0.006339970288120834
이용후경과월_일시불,0.032285881560556874
이용후경과월_할부,0.03197285527858423
이용후경과월_할부_유이자,-0.026282580995802208
이용후경과월_할부_무이자,0.04271760258995832
이용후경과월_부분무이자,0.002817519134814973
이용후경과월_CA,0.10388838296255026
이용후경과월_체크,0.00749148320384879
이용후경과월_카드론,0.005393302607861197
이용건수_신용_R12M,-0.16489669791077916
이용건수_신판_R12M,-0.16105188419845873
이용건수_일시불_R12M,-0.1588614266365631
이용건수_할부_R12M,-0.07590854218342494
이용건수_할부_유이자_R12M,0.007400273876668372
이용건수_할부_무이자_R12M,-0.09290860952568696
이용건수_부분무이자_R12M,-0.0013827773100366075
이용건수_CA_R12M,-0.13989072479607775
이용건수_체크_R12M,-0.02566639491257914
이용건수_카드론_R12M,-0.004721480441362484
이용금액_일시불_R12M,-0.326400840719348
이용금액_할부_R12M,-0.1407302733200338
이용금액_할부_유이자_R12M,-0.00717878082583396
이용금액_할부_무이자_R12M,-0.16385574061406466
이용금액_부분무이자_R12M,-0.003290852087740525
이용금액_CA_R12M,-0.19691143024550242
이용금액_체크_R12M,-0.02313311823942513
이용금액_카드론_R12M,0.004522001321890995
최대이용금액_일시불_R12M,-0.2865790122110227
최대이용금액_할부_R12M,-0.1622559047729152
최대이용금액_할부_유이자_R12M,-0.03660303148839732
최대이용금액_할부_무이자_R12M,-0.17123139275910984
최대이용금액_부분무이자_R12M,-0.0042300115290595484
최대이용금액_CA_R12M,-0.19736960650131707
최대이용금액_체크_R12M,-0.051368597549475384
최대이용금액_카드론_R12M,0.00422888267737478
이용개월수_신용_R12M,-0.04283284082452854
이용개월수_신판_R12M,-0.03194347536866489
이용개월수_일시불_R12M,-0.030748543528115877
이용개월수_할부_R12M,-0.05242515909320164
이용개월수_할부_유이자_R12M,0.024829078549731817
이용개월수_할부_무이자_R12M,-0.06887924333187449
이용개월수_부분무이자_R12M,-0.003239065810379707
이용개월수_CA_R12M,-0.12690824185162078
이용개월수_체크_R12M,-0.007792016813177384
이용개월수_카드론_R12M,-0.0022251631277516648
이용건수_신용_R6M,-0.1564100398095278
이용건수_신판_R6M,-0.15289653740657627
이용건수_일시불_R6M,-0.15118975635808804
이용건수_할부_R6M,-0.07261699525731256
이용건수_할부_유이자_R6M,0.016079107090082017
