,Segment
기준년월,4.738603788372546e-13
ID,0.0034758593521061654
대표결제일,-0.024928007667054476
대표결제방법코드,
대표청구지고객주소구분코드,0.01157598515866679
대표청구서수령지구분코드,-0.03719929742013909
청구서수령방법,-0.03719929742013909
청구서발송여부_B0,-0.03388716181837302
청구서발송여부_R3M,-0.026168067893103376
청구서발송여부_R6M,-0.016406804817539256
청구금액_B0,-0.34563558900530134
청구금액_R3M,-0.35902490082640764
청구금액_R6M,-0.360852728868134
포인트_마일리지_건별_B0M,-0.12865334511122922
포인트_마일리지_건별_R3M,-0.13001080295661774
포인트_포인트_건별_B0M,-0.038799856776931214
포인트_포인트_건별_R3M,-0.039343240169762275
포인트_마일리지_월적립_B0M,-0.11595603064422029
포인트_마일리지_월적립_R3M,-0.12021765707760942
포인트_포인트_월적립_B0M,-0.025267861193147795
포인트_포인트_월적립_R3M,-0.0241935270115184
포인트_적립포인트_R12M,-0.04172696770269391
포인트_적립포인트_R3M,-0.032000367219938486
포인트_이용포인트_R12M,-0.026937310282044595
포인트_이용포인트_R3M,-0.03530517571540916
포인트_잔여포인트_B0M,0.001863463026494692
마일_적립포인트_R12M,-0.12354718778093783
마일_적립포인트_R3M,-0.17445270636937082
마일_이용포인트_R12M,-0.1265276544346082
마일_이용포인트_R3M,-0.12755093916281932
마일_잔여포인트_B0M,-0.12089120835954796
할인건수_R3M,-0.015794630498719556
할인금액_R3M,-0.023553458468593358
할인건수_B0M,-0.018136786556889238
할인금액_B0M,-0.022598922665637202
할인금액_청구서_R3M,-0.029842802513900726
할인금액_청구서_B0M,-0.02707405283147334
상환개월수_결제일_R6M,-0.0018292750478788105
상환개월수_결제일_R3M,-0.0011447906143686496
선결제건수_R6M,-0.035023575473525845
선결제건수_R3M,-0.031658975389379035
연체건수_R6M,0.00037171639957837144
연체건수_R3M,0.0007325550632169942
혜택수혜금액_R3M,-0.16719904856931425
포인트_마일리지_환산_B0M,-0.18178443214732787
혜택수혜금액,-0.15674022188535966
