,Segment
기준년월,4.738603788372546e-13
ID,0.0034758593521061654
잔액_일시불_B0M,-0.1835953090287742
잔액_할부_B0M,-0.1173979885922497
잔액_현금서비스_B0M,-0.16469241174301927
잔액_리볼빙일시불이월_B0M,0.012846097045926572
잔액_리볼빙CA이월_B0M,0.0052643204358705405
잔액_카드론_B0M,-0.0020219468966647626
월중평잔_일시불_B0M,-0.20648909480334976
월중평잔_할부_B0M,-0.11620358253122272
월중평잔_CA_B0M,-0.1692177650092163
카드론잔액_최종경과월,
연체일자_B0M,0.003436323550148797
연체잔액_B0M,0.004417671785792309
연체잔액_일시불_B0M,0.0035958424027012657
연체잔액_할부_B0M,0.007435553564849994
연체잔액_현금서비스_B0M,0.003092821338962092
연체잔액_카드론_B0M,-0.002415350171131974
연체잔액_대환론_B0M,
잔액_현금서비스_B1M,-0.16809246862699884
잔액_현금서비스_B2M,-0.16808230647776978
잔액_카드론_B1M,-0.002127423305537964
잔액_카드론_B2M,-0.002448628646455298
잔액_카드론_B3M,-0.002995639751750946
잔액_카드론_B4M,-0.003524976527876193
잔액_카드론_B5M,-0.0044053246824565006
잔액_할부_B1M,-0.11476118856413832
잔액_할부_B2M,-0.1115451629320345
잔액_일시불_B1M,-0.15476979947252492
잔액_일시불_B2M,-0.1539509080324111
연체일수_B1M,0.0011307179246392754
연체일수_B2M,0.00023013710865808364
연체원금_B1M,0.004817278830545893
연체원금_B2M,0.006052783578173157
연체일수_최근,0.00702749679514352
연체원금_최근,0.004694543693355872
최종연체회차,-0.01830545574415185
매각잔액_B1M,
최종연체개월수_R15M,
RV_평균잔액_R12M,0.013293881196830054
RV_최대잔액_R12M,0.012964243719580996
RV_평균잔액_R6M,0.014578379363598277
RV_최대잔액_R6M,0.013241529374157537
RV_평균잔액_R3M,0.014692785197625832
RV_최대잔액_R3M,0.01308248624458127
RV잔액이월횟수_R6M,
RV잔액이월횟수_R3M,
잔액_할부_유이자_B0M,-0.02583690086185417
잔액_할부_무이자_B0M,-0.12986290372394718
잔액_할부_해외_B0M,-0.0019765307334907744
연체잔액_일시불_해외_B0M,
연체잔액_RV일시불_B0M,0.00032071078377831334
연체잔액_RV일시불_해외_B0M,
연체잔액_할부_해외_B0M,
연체잔액_CA_B0M,0.004760449888785243
연체잔액_CA_해외_B0M,
월중평잔,-0.1426331621443426
월중평잔_일시불,-0.2024173968786468
월중평잔_RV일시불,0.0014323648329139305
월중평잔_할부,-0.11475553415794203
월중평잔_CA,-0.1724899150380424
월중평잔_카드론,-0.0014600006090633672
평잔_3M,-0.13769074068632056
평잔_일시불_3M,-0.19320598091023475
평잔_일시불_해외_3M,-0.16503143439754628
평잔_RV일시불_3M,0.0012687250139739646
평잔_RV일시불_해외_3M,-0.02739612391517476
평잔_할부_3M,-0.12005573379024229
평잔_할부_해외_3M,-0.009712906112721617
평잔_CA_3M,-0.17823644601200336
평잔_CA_해외_3M,-0.0041085137947616205
평잔_카드론_3M,0.0006688442795543416
평잔_6M,-0.14771643974608734
평잔_일시불_6M,-0.19893292185832098
평잔_일시불_해외_6M,-0.18566540084590283
평잔_RV일시불_6M,-0.0010079709960943521
평잔_RV일시불_해외_6M,-0.030115954053868316
평잔_할부_6M,-0.12790617320513117
평잔_할부_해외_6M,-0.014123755386214274
평잔_CA_6M,-0.18541252979560002
평잔_CA_해외_6M,-0.00912677184218443
평잔_카드론_6M,0.0002822301340557103
