,Segment
기준년월,4.738603788372546e-13
ID,0.0034758593521061654
인입횟수_ARS_R6M,-0.04057834054636703
이용메뉴건수_ARS_R6M,-0.031104841272713533
인입일수_ARS_R6M,-0.056719932293918786
인입월수_ARS_R6M,-0.05393116736752551
인입후경과월_ARS,-0.021659906065758794
인입횟수_ARS_B0M,-0.039561752820510464
이용메뉴건수_ARS_B0M,-0.03823496953922784
인입일수_ARS_B0M,-0.03929664746642476
방문횟수_PC_R6M,-0.06350449652715277
방문일수_PC_R6M,-0.06046636790150203
방문월수_PC_R6M,-0.07056195287967265
방문후경과월_PC_R6M,0.07304329924270285
방문횟수_앱_R6M,-0.017324415041837526
방문일수_앱_R6M,-0.01699078749827665
방문월수_앱_R6M,-0.01385740555645112
방문후경과월_앱_R6M,0.017552151157097722
방문횟수_모바일웹_R6M,-0.011422595587993157
방문일수_모바일웹_R6M,-0.010908148685748147
방문월수_모바일웹_R6M,-0.011767262623434863
방문후경과월_모바일웹_R6M,0.00974119829930396
방문횟수_PC_B0M,-0.06371163929448238
방문일수_PC_B0M,-0.06427947950811244
방문횟수_앱_B0M,-0.01911561467151535
방문일수_앱_B0M,-0.016645931002139024
방문횟수_모바일웹_B0M,0.002001605928077012
방문일수_모바일웹_B0M,0.0017378899285316837
인입횟수_IB_R6M,-0.04731390304326061
인입횟수_금융_IB_R6M,
인입일수_IB_R6M,-0.049750940414068884
인입월수_IB_R6M,-0.047698928776273075
이용메뉴건수_IB_R6M,-0.047096064360455235
인입후경과월_IB_R6M,0.04159563820945898
인입횟수_IB_B0M,-0.021973878759293148
인입일수_IB_B0M,-0.018443608369410107
이용메뉴건수_IB_B0M,-0.018199712635865336
인입불만횟수_IB_R6M,
인입불만일수_IB_R6M,
인입불만월수_IB_R6M,
인입불만후경과월_IB_R6M,
인입불만횟수_IB_B0M,
인입불만일수_IB_B0M,
상담건수_B0M,-0.02140043206519107
IB문의건수_사용승인내역_B0M,-0.0032193611879161076
IB문의건수_한도_B0M,
IB문의건수_선결제_B0M,-0.019662418579781307
IB문의건수_결제_B0M,
IB문의건수_할부_B0M,
IB문의건수_정보변경_B0M,
IB문의건수_결제일변경_B0M,
IB문의건수_명세서_B0M,
IB문의건수_비밀번호_B0M,
IB문의건수_SMS_B0M,
IB문의건수_APP_B0M,
IB문의건수_부대서비스_B0M,
IB문의건수_포인트_B0M,
IB문의건수_카드발급_B0M,
IB문의건수_BL_B0M,
IB문의건수_분실도난_B0M,
IB문의건수_CA_B0M,
IB문의건수_CL_RV_B0M,0.0004451168948533036
IB문의건수_CS_B0M,0.0015160879028414012
IB상담건수_VOC_B0M,
IB상담건수_VOC민원_B0M,
IB상담건수_VOC불만_B0M,
IB상담건수_금감원_B0M,
상담건수_R6M,-0.049498946198675654
IB문의건수_사용승인내역_R6M,-0.0398391646563726
IB문의건수_한도_R6M,-0.0074007446896821975
IB문의건수_선결제_R6M,-0.02598491349738621
IB문의건수_결제_R6M,-0.01846143111403535
IB문의건수_할부_R6M,0.0006275699820570456
IB문의건수_정보변경_R6M,-0.006067191433605694
IB문의건수_결제일변경_R6M,0.011243973507799538
IB문의건수_명세서_R6M,
IB문의건수_비밀번호_R6M,0.0006523041006245287
IB문의건수_SMS_R6M,
IB문의건수_APP_R6M,
IB문의건수_부대서비스_R6M,
IB문의건수_포인트_R6M,-0.008300419328783202
IB문의건수_카드발급_R6M,-0.02430451532092035
IB문의건수_BL_R6M,0.001384157237521462
IB문의건수_분실도난_R6M,-0.02364761521073806
IB문의건수_CA_R6M,-0.010809983595079647
IB문의건수_CL_RV_R6M,0.025702889687857843
IB문의건수_CS_R6M,0.004600051259427302
IB상담건수_VOC_R6M,
IB상담건수_VOC민원_R6M,
IB상담건수_VOC불만_R6M,
IB상담건수_금감원_R6M,
불만제기건수_B0M,
불만제기건수_R12M,
불만제기후경과월_R12M,-0.06162973328197322
당사PAY_방문횟수_B0M,
당사PAY_방문횟수_R6M,
당사PAY_방문월수_R6M,
당사멤버쉽_방문횟수_B0M,-0.02992997411634788
당사멤버쉽_방문횟수_R6M,-0.025866040485776183
당사멤버쉽_방문월수_R6M,-0.04014006409600982
OS구분코드,-0.019766035590067958
홈페이지_금융건수_R6M,-0.05845574639426643
홈페이지_선결제건수_R6M,-0.03536463996247672
홈페이지_금융건수_R3M,-0.05245210509036381
홈페이지_선결제건수_R3M,-0.034512741343832656
