,Segment
기준년월,4.738603788372546e-13
ID,0.0034758593521061654
컨택건수_카드론_TM_B0M,0.018567631463016175
컨택건수_리볼빙_TM_B0M,-0.0023959219896339708
컨택건수_CA_TM_B0M,
컨택건수_이용유도_TM_B0M,0.017406615795448152
컨택건수_신용발급_TM_B0M,
컨택건수_부대서비스_TM_B0M,
컨택건수_포인트소진_TM_B0M,
컨택건수_보험_TM_B0M,0.00039301149339063257
컨택건수_카드론_LMS_B0M,0.02148775578051285
컨택건수_CA_LMS_B0M,0.0012232230472997213
컨택건수_리볼빙_LMS_B0M,-0.0060337820195193554
컨택건수_이용유도_LMS_B0M,-0.009240127998407989
컨택건수_카드론_EM_B0M,-0.00032412719876738125
컨택건수_CA_EM_B0M,
컨택건수_리볼빙_EM_B0M,
컨택건수_이용유도_EM_B0M,0.01124872431593822
컨택건수_카드론_청구서_B0M,-0.0010421862466321841
컨택건수_CA_청구서_B0M,0.006765891932197728
컨택건수_리볼빙_청구서_B0M,
컨택건수_이용유도_청구서_B0M,-0.026862648974649114
컨택건수_카드론_인터넷_B0M,
컨택건수_CA_인터넷_B0M,
컨택건수_리볼빙_인터넷_B0M,
컨택건수_이용유도_인터넷_B0M,0.01952754471605552
컨택건수_카드론_당사앱_B0M,
컨택건수_CA_당사앱_B0M,
컨택건수_리볼빙_당사앱_B0M,
컨택건수_이용유도_당사앱_B0M,-0.003763892482422843
컨택건수_카드론_TM_R6M,0.028991662976211783
컨택건수_CA_TM_R6M,-0.0005866340935833948
컨택건수_리볼빙_TM_R6M,0.008396145768444984
컨택건수_이용유도_TM_R6M,0.07003613561033356
컨택건수_신용발급_TM_R6M,0.009790982108494413
컨택건수_부대서비스_TM_R6M,0.011506011822421239
컨택건수_포인트소진_TM_R6M,0.0010583700811603463
컨택건수_보험_TM_R6M,0.006169261180774428
컨택건수_카드론_LMS_R6M,0.03339012377183036
컨택건수_CA_LMS_R6M,0.03759326516284545
컨택건수_리볼빙_LMS_R6M,0.008021334795441839
컨택건수_이용유도_LMS_R6M,-0.004482665992355716
컨택건수_카드론_EM_R6M,0.0006728335058804732
컨택건수_CA_EM_R6M,
컨택건수_리볼빙_EM_R6M,
컨택건수_이용유도_EM_R6M,0.01156458135875942
컨택건수_카드론_청구서_R6M,0.008550715785826396
컨택건수_CA_청구서_R6M,0.012242371610994928
컨택건수_리볼빙_청구서_R6M,
컨택건수_이용유도_청구서_R6M,0.01914225795053276
컨택건수_카드론_인터넷_R6M,
컨택건수_CA_인터넷_R6M,
컨택건수_리볼빙_인터넷_R6M,
컨택건수_이용유도_인터넷_R6M,0.044057095615708815
컨택건수_카드론_당사앱_R6M,
컨택건수_CA_당사앱_R6M,
컨택건수_리볼빙_당사앱_R6M,
컨택건수_이용유도_당사앱_R6M,-0.005088990988572263
컨택건수_채권_B0M,0.003657342722286971
컨택건수_FDS_B0M,
컨택건수_채권_R6M,0.005282127258698754
컨택건수_FDS_R6M,
캠페인접촉건수_R12M,0.02928708960461726
캠페인접촉일수_R12M,0.02960917532852629
