feature,correlation,source
기준년월,4.738603788372546e-13,corr_output\1_회원정보
ID,0.0034758593521061,corr_output\1_회원정보
남녀구분코드,0.0422588092285531,corr_output\1_회원정보
연령,-0.0656108652229448,corr_output\1_회원정보
회원여부_이용가능,-0.0137016891345878,corr_output\1_회원정보
회원여부_이용가능_CA,-0.0135076180057757,corr_output\1_회원정보
회원여부_이용가능_카드론,0.0017834063961145,corr_output\1_회원정보
소지여부_신용,-0.0104909848669327,corr_output\1_회원정보
소지카드수_유효_신용,-0.1641626910818439,corr_output\1_회원정보
소지카드수_이용가능_신용,-0.1595729366786093,corr_output\1_회원정보
입회일자_신용,0.1982680485311377,corr_output\1_회원정보
입회경과개월수_신용,-0.1982165846020678,corr_output\1_회원정보
회원여부_연체,0.007367401712413,corr_output\1_회원정보
이용거절여부_카드론,0.0541684539272138,corr_output\1_회원정보
동의여부_한도증액안내,-0.0394220347731516,corr_output\1_회원정보
수신거부여부_TM,-0.0273225682580125,corr_output\1_회원정보
수신거부여부_DM,-0.0275794414396168,corr_output\1_회원정보
수신거부여부_메일,-0.0278895941285577,corr_output\1_회원정보
수신거부여부_SMS,-0.0320584341882015,corr_output\1_회원정보
가입통신회사코드,-0.0504593439157244,corr_output\1_회원정보
탈회횟수_누적,0.014944304680575,corr_output\1_회원정보
최종탈회후경과월,0.0043545540561925,corr_output\1_회원정보
탈회횟수_발급6개월이내,-0.0002724536860565,corr_output\1_회원정보
탈회횟수_발급1년이내,0.0162174240280041,corr_output\1_회원정보
거주시도명,0.0343917559461492,corr_output\1_회원정보
직장시도명,0.0244934736155456,corr_output\1_회원정보
마케팅동의여부,0.0231946370897619,corr_output\1_회원정보
유효카드수_신용체크,-0.1283075560137688,corr_output\1_회원정보
유효카드수_신용,-0.1357105710744969,corr_output\1_회원정보
유효카드수_신용_가족,-0.1051125198459071,corr_output\1_회원정보
유효카드수_체크,-0.0361031388754046,corr_output\1_회원정보
유효카드수_체크_가족,-0.0035662252407416,corr_output\1_회원정보
이용가능카드수_신용체크,-0.1306488920849884,corr_output\1_회원정보
이용가능카드수_신용,-0.137907888728959,corr_output\1_회원정보
이용가능카드수_신용_가족,-0.1051635235696069,corr_output\1_회원정보
이용가능카드수_체크,-0.0356737889685464,corr_output\1_회원정보
이용가능카드수_체크_가족,0.0001454743111823,corr_output\1_회원정보
이용카드수_신용체크,-0.134353750805196,corr_output\1_회원정보
이용카드수_신용,-0.1338887203973555,corr_output\1_회원정보
이용카드수_신용_가족,-0.1054570717009425,corr_output\1_회원정보
이용카드수_체크,-0.0233546066878994,corr_output\1_회원정보
이용카드수_체크_가족,,corr_output\1_회원정보
이용금액_R3M_신용체크,-0.3069002865748273,corr_output\1_회원정보
이용금액_R3M_신용,-0.2881705461597234,corr_output\1_회원정보
이용금액_R3M_신용_가족,-0.1328650188665357,corr_output\1_회원정보
이용금액_R3M_체크,-0.0506569190729489,corr_output\1_회원정보
이용금액_R3M_체크_가족,,corr_output\1_회원정보
_1순위카드이용금액,-0.3185141691277746,corr_output\1_회원정보
_1순위카드이용건수,-0.1078560153375636,corr_output\1_회원정보
_1순위신용체크구분,0.0282341446527766,corr_output\1_회원정보
_2순위카드이용금액,-0.1097507208166797,corr_output\1_회원정보
_2순위카드이용건수,-0.0780419654957342,corr_output\1_회원정보
_2순위신용체크구분,0.0153621105236411,corr_output\1_회원정보
최종유효년월_신용_이용가능,-0.0240220647884047,corr_output\1_회원정보
최종유효년월_신용_이용,-0.0284801806650904,corr_output\1_회원정보
최종카드발급일자,-0.0108650910735875,corr_output\1_회원정보
보유여부_해외겸용_본인,-0.064593150000387,corr_output\1_회원정보
이용가능여부_해외겸용_본인,-0.0650652984796352,corr_output\1_회원정보
이용여부_3M_해외겸용_본인,-0.0814242612082074,corr_output\1_회원정보
보유여부_해외겸용_신용_본인,-0.0895455108460239,corr_output\1_회원정보
이용가능여부_해외겸용_신용_본인,-0.0918955940055635,corr_output\1_회원정보
이용여부_3M_해외겸용_신용_본인,-0.0979130679540959,corr_output\1_회원정보
연회비발생카드수_B0M,-0.0179157120481241,corr_output\1_회원정보
연회비할인카드수_B0M,,corr_output\1_회원정보
기본연회비_B0M,0.0067370618089547,corr_output\1_회원정보
제휴연회비_B0M,-0.008353289227706,corr_output\1_회원정보
할인금액_기본연회비_B0M,,corr_output\1_회원정보
할인금액_제휴연회비_B0M,,corr_output\1_회원정보
청구금액_기본연회비_B0M,0.0067370618089547,corr_output\1_회원정보
청구금액_제휴연회비_B0M,-0.008353289227706,corr_output\1_회원정보
상품관련면제카드수_B0M,,corr_output\1_회원정보
임직원면제카드수_B0M,,corr_output\1_회원정보
우수회원면제카드수_B0M,,corr_output\1_회원정보
기타면제카드수_B0M,,corr_output\1_회원정보
카드신청건수,-0.0027730312771676,corr_output\1_회원정보
Life_Stage,-0.0526825206447987,corr_output\1_회원정보
최종카드발급경과월,0.0150417933249372,corr_output\1_회원정보
기준년월,4.738603788372546e-13,corr_output\2_신용정보
ID,0.0034758593521061,corr_output\2_신용정보
최초한도금액,-0.0918910684231335,corr_output\2_신용정보
카드이용한도금액,-0.2362562952607785,corr_output\2_신용정보
CA한도금액,-0.2291170789736743,corr_output\2_신용정보
일시상환론한도금액,-0.0648028239739273,corr_output\2_신용정보
월상환론한도금액,-0.0160766561364558,corr_output\2_신용정보
CA이자율_할인전,-0.069813259400158,corr_output\2_신용정보
CL이자율_할인전,-0.0195328637887438,corr_output\2_신용정보
RV일시불이자율_할인전,-0.0263465944027526,corr_output\2_신용정보
RV현금서비스이자율_할인전,-0.047782793411398,corr_output\2_신용정보
RV신청일자,0.0344697049976966,corr_output\2_신용정보
RV약정청구율,0.0335731390908233,corr_output\2_신용정보
RV최소결제비율,-0.0232310439666791,corr_output\2_신용정보
자발한도감액횟수_R12M,-0.0056232374814425,corr_output\2_신용정보
자발한도감액금액_R12M,-0.0050816994726224,corr_output\2_신용정보
자발한도감액후경과월,-0.0010894307550024,corr_output\2_신용정보
강제한도감액횟수_R12M,-0.0247881105669997,corr_output\2_신용정보
강제한도감액금액_R12M,-0.031502002523686,corr_output\2_신용정보
강제한도감액후경과월,-0.0024104932209087,corr_output\2_신용정보
