,a,b,ab
ab,0.9332285157977938,0.3591378521742399,1.0
a,0.9999999999999998,-0.0001559208265937291,0.9332285157977939
b,-0.00015592082659372913,1.0,0.3591378521742399
Segment,-0.13748253509826971,-0.03878542581156021,-0.14224528243494683
정상입금원금_B5M,0.13256573948150224,0.035258485502107896,0.13638934211878692
청구금액_R6M,0.11688950522990013,0.0448618048697085,0.12520926806800356
정상청구원금_B5M,0.11686184841021069,0.0425499672280925,0.12435285156556228
청구금액_R3M,0.11567486737143566,0.04354251491769519,0.12360166639754487
청구금액_B0,0.11398320973402326,0.041976099369208666,0.1214600814269591
정상입금원금_B2M,0.12054274705436765,0.03246555782918793,0.12416501674704984
정상입금원금_B0M,0.11755636868054024,0.02992130253396292,0.12046376737511823
할부금액_무이자_3M_R12M,0.091724810938341,0.05974337300653903,0.10707014800471729
정상청구원금_B2M,0.1046215329306125,0.039612014569731346,0.11187359688413995
정상청구원금_B0M,0.10189238554657869,0.03824405655847897,0.10883504127014484
이용금액_할부_무이자_R12M,0.08659216373987504,0.05284188550610589,0.09980033805611985
이용금액_일시불_R12M,0.09967326148540004,0.03166060444024996,0.10439864223367841
이용금액_오프라인_R6M,0.09351442093249511,0.030529330025642135,0.09824424350385244
할부금액_3M_R12M,0.07626524826270616,0.05053734133619771,0.08933440314404413
_1순위카드이용금액,0.08757811569004408,0.03225915166495959,0.0933254777719558
_1순위업종_이용금액,0.08028711659974729,0.03790317527072192,0.08854870489743819
포인트_마일리지_환산_B0M,0.08184017900338823,0.027161435233064465,0.08613882545391752
평잔_일시불_해외_6M,0.08217842033338588,0.02647329763467876,0.08620726446065734
이용금액_할부_R12M,0.06984102009200659,0.04257502426237934,0.08047804222280767
쇼핑_도소매_이용금액,0.07749878918722226,0.03112112812299549,0.0835097252839759
이용금액_오프라인_R3M,0.08014309535728753,0.026001175659390256,0.08413810156098149
잔액_할부_무이자_B0M,0.06804975404258774,0.04245091308382716,0.0787616902372466
마일_적립포인트_R3M,0.07979550942153482,0.02390561428856001,0.08306080462960755
최대이용금액_일시불_R12M,0.0818351159226558,0.020645719159617822,0.08379311172576775
_2순위여유업종_이용금액,0.07341780858562878,0.03177880718427746,0.07993730234855519
_3순위업종_이용금액,0.07784563612101296,0.02386345374058064,0.08122587044814669
여유_숙박이용금액,0.07065329851546745,0.03372511615761423,0.0780565042999947
_2순위쇼핑업종_이용금액,0.07262394681136022,0.03076402040863087,0.07883180741799324
이용금액_R3M_신용,0.07519257169682185,0.025911128996032824,0.07948550211702773
이용금액_오프라인_B0M,0.07475038119479831,0.023385312394449076,0.07816532865740608
_2순위업종_이용금액,0.07399433915293768,0.023452800705647127,0.07748397373943487
