Segment,카드이용한도금액,CA한도금액,이용건수_선결제_R3M,선입금원금_B2M,상환개월수_결제일_R3M,선입금원금_B5M,이용개월수_결제일_R6M
A,207389,57536,0,0,3,0,6
A,197758,53971,0,0,3,0,6
A,197683,53533,0,0,3,0,6
A,206550,57970,0,0,3,0,6
A,197457,60800,42,7539,2,0,5
A,183505,51006,0,0,3,0,6
A,182308,51023,0,0,3,0,6
A,188649,59360,0,0,3,0,6
A,193153,54226,0,0,2,0,6
A,189541,56335,0,0,3,0,6
A,182634,50958,0,0,2,0,6
A,195661,56495,0,0,3,0,6
A,203814,60509,0,0,3,0,6
A,221513,61696,0,0,3,0,6
B,88984,32181,0,0,3,0,6
A,219246,62127,0,0,3,0,6
A,208433,51828,0,0,2,0,6
A,189857,57648,0,0,3,0,6
A,212714,58116,0,0,3,0,6
A,85863,35307,0,0,3,0,6
A,206619,51955,0,0,3,0,6
A,212192,60108,0,0,3,0,6
A,218702,63468,0,0,3,0,6
A,216244,64304,0,0,3,0,6
A,203328,49830,0,0,2,0,5
A,200595,57240,0,0,3,0,6
A,213099,62511,0,0,3,0,6
A,207988,58716,0,0,3,0,6
A,182919,50322,0,0,1,0,2
A,203539,58653,0,0,3,0,6
A,195736,0,0,0,2,0,6
A,200680,56704,0,0,3,0,6
A,224172,61950,0,0,3,0,6
A,183402,51494,0,0,3,0,1
B,86831,34324,11,0,1,0,6
B,86844,28864,110,11340,0,10420,0
B,185941,56525,0,0,3,0,6
A,210696,61009,0,0,2,0,5
A,218932,63699,110,10048,1,8532,4
A,191890,52144,0,0,2,0,6
A,204179,50946,0,0,1,0,4
A,201675,54210,0,0,3,0,6
A,198603,58410,0,0,2,0,5
A,202651,60173,0,0,3,0,6
A,189911,41109,0,9216,1,9242,6
A,187425,55223,11,6376,2,0,6
A,201406,58395,0,0,3,0,5
A,208470,56658,0,0,3,0,6
A,53077,22296,0,0,0,0,2
A,85899,34739,0,0,0,0,0
A,207287,63702,0,0,3,0,6
B,86792,30613,110,12463,1,12438,5
A,219474,60570,0,0,3,0,6
B,57190,24397,112,15039,1,12581,5
A,205428,59227,0,0,3,0,6
A,208392,60524,0,0,3,0,6
A,207790,57236,0,0,3,0,6
A,186842,52129,107,7506,1,0,3
A,198389,51765,0,0,3,0,6
A,196546,44551,0,0,3,0,6
A,180095,46203,0,10473,0,9972,5
A,221518,61439,42,0,2,0,5
A,205419,61335,0,0,3,0,6
A,192105,48256,0,0,3,0,6
A,197186,55673,0,0,2,0,6
A,194230,53930,0,0,2,0,6
A,194558,57595,106,7354,2,0,6
B,220184,60583,0,0,3,0,5
B,187777,56346,0,0,3,0,6
A,211971,62673,0,0,3,0,6
B,190653,0,186,10672,1,11586,2
A,194912,48635,0,0,3,0,6
A,199059,52771,0,0,3,0,6
A,206926,60534,0,0,3,0,6
A,204789,58898,0,0,3,0,6
A,192570,59328,0,0,3,0,6
A,190842,57085,0,0,3,0,6
A,190749,57760,0,0,3,0,6
A,190587,55107,0,0,3,0,6
A,199397,53843,0,0,3,0,6
A,197552,57728,11,0,2,0,6
A,184617,58204,0,0,3,0,6
A,207023,61049,0,0,3,0,6
A,199017,60762,0,0,3,0,6
A,215103,60274,0,0,3,0,6
A,207785,59501,0,0,3,0,6
A,200437,55582,0,0,2,0,6
A,212922,60582,0,0,3,0,6
A,213953,57451,0,0,3,0,6
A,198968,56453,0,0,3,0,6
A,207210,54939,112,12610,0,11337,1
B,84653,30657,0,0,3,0,6
B,176076,44633,186,11788,0,10661,0
A,171758,51289,0,0,2,0,6
A,208908,63476,0,0,3,0,6
A,194469,57338,0,0,3,0,6
A,219980,66457,0,0,3,0,6
A,211342,62298,0,0,3,0,6
A,204840,60844,0,0,3,0,6
A,202935,53501,0,0,3,0,6
B,198139,59195,0,0,3,0,6
B,84235,31127,0,0,3,0,6
A,211124,56806,0,0,3,0,6
A,191171,55670,0,0,3,0,6
A,205883,61949,0,0,3,0,6
A,215560,64028,0,0,3,0,6
A,205290,60836,0,0,3,0,6
